NUTS2;LAU2_CODE;LAU2_NAME;YEAR;NATION_AUSTRIA;NATION_EU;NATION_FORMER_YUGOSLAVIA;NATION_TURKEY;NATION_OTHERS;NATION_TOTAL
AT31;40101;Linz;2021;152633;22416;12248;3574;16376;207247
AT31;40201;Steyr;2021;29851;3226;2349;937;1516;37879
AT31;40301;Wels;2021;44044;8326;5966;1668;3177;63181
AT31;40401;Altheim;2021;4220;564;159;14;50;5007
AT31;40402;Aspach;2021;2350;230;18;1;8;2607
AT31;40403;Auerbach;2021;648;65;39;6;12;770
AT31;40404;Braunau am Inn;2021;12600;2533;1215;159;979;17486
AT31;40405;Burgkirchen;2021;2411;234;73;0;9;2727
AT31;40406;Eggelsberg;2021;2323;268;30;4;32;2657
AT31;40407;Feldkirchen bei Mattighofen;2021;1951;121;15;2;11;2100
AT31;40408;Franking;2021;898;106;5;0;5;1014
AT31;40409;Geretsberg;2021;1071;85;1;0;14;1171
AT31;40410;Gilgenberg am Weilhart;2021;1204;132;7;0;16;1359
AT31;40411;Haigermoos;2021;593;41;1;0;2;637
AT31;40412;Handenberg;2021;1240;83;10;0;3;1336
AT31;40413;Helpfau-Uttendorf;2021;2789;648;249;19;47;3752
AT31;40414;Hochburg-Ach;2021;2488;784;15;2;53;3342
AT31;40415;Höhnhart;2021;1363;85;0;0;15;1463
AT31;40416;Jeging;2021;593;77;14;22;4;710
AT31;40417;Kirchberg bei Mattighofen;2021;1140;53;2;12;5;1212
AT31;40418;Lengau;2021;4342;383;160;52;38;4975
AT31;40419;Lochen am See;2021;2764;141;8;7;6;2926
AT31;40420;Maria Schmolln;2021;1352;64;5;2;19;1442
AT31;40421;Mattighofen;2021;4485;1337;1077;145;195;7239
AT31;40422;Mauerkirchen;2021;1934;451;223;1;44;2653
AT31;40423;Mining;2021;1162;84;3;2;8;1259
AT31;40424;Moosbach;2021;941;149;19;0;14;1123
AT31;40425;Moosdorf;2021;1545;181;12;0;17;1755
AT31;40426;Munderfing;2021;2633;262;80;14;32;3021
AT31;40427;Neukirchen an der Enknach;2021;2046;149;33;1;37;2266
AT31;40428;Ostermiething;2021;2859;381;76;9;29;3354
AT31;40429;Palting;2021;1082;48;8;4;10;1152
AT31;40430;Perwang am Grabensee;2021;983;81;2;1;8;1075
AT31;40431;Pfaffstätt;2021;929;241;42;2;2;1216
AT31;40432;Pischelsdorf am Engelbach;2021;1507;172;13;2;19;1713
AT31;40433;Polling im Innkreis;2021;928;57;6;0;7;998
AT31;40434;Roßbach;2021;830;54;4;0;4;892
AT31;40435;St. Georgen am Fillmannsbach;2021;424;25;1;0;0;450
AT31;40436;St. Johann am Walde;2021;1892;142;3;1;7;2045
AT31;40437;St. Pantaleon;2021;2692;312;132;11;60;3207
AT31;40438;St. Peter am Hart;2021;2112;257;11;18;61;2459
AT31;40439;St. Radegund;2021;548;86;3;0;0;637
AT31;40440;St. Veit im Innkreis;2021;377;29;0;0;2;408
AT31;40441;Schalchen;2021;3387;395;287;14;39;4122
AT31;40442;Schwand im Innkreis;2021;941;68;1;1;9;1020
AT31;40443;Tarsdorf;2021;1912;178;18;1;6;2115
AT31;40444;Treubach;2021;660;75;5;0;6;746
AT31;40445;Überackern;2021;489;201;0;0;4;694
AT31;40446;Weng im Innkreis;2021;1307;77;13;0;23;1420
AT31;40501;Alkoven;2021;5582;266;113;27;116;6104
AT31;40502;Aschach an der Donau;2021;1849;131;173;7;49;2209
AT31;40503;Eferding;2021;3385;297;446;26;117;4271
AT31;40504;Fraham;2021;2250;105;81;2;16;2454
AT31;40505;Haibach ob der Donau;2021;1254;26;1;0;7;1288
AT31;40506;Hartkirchen;2021;3861;58;62;5;20;4006
AT31;40507;Hinzenbach;2021;1927;63;71;2;15;2078
AT31;40508;Prambachkirchen;2021;2774;139;35;4;21;2973
AT31;40509;Pupping;2021;1698;44;48;3;13;1806
AT31;40510;St. Marienkirchen an der Polsenz;2021;2229;60;15;10;13;2327
AT31;40511;Scharten;2021;2176;60;37;1;8;2282
AT31;40512;Stroheim;2021;1600;18;0;1;5;1624
AT31;40601;Freistadt;2021;7151;257;51;266;247;7972
AT31;40602;Grünbach;2021;1836;24;0;3;21;1884
AT31;40603;Gutau;2021;2663;48;3;1;11;2726
AT31;40604;Hagenberg im Mühlkreis;2021;2707;73;3;2;29;2814
AT31;40605;Hirschbach im Mühlkreis;2021;1151;16;0;0;2;1169
AT31;40606;Kaltenberg;2021;599;6;0;0;0;605
AT31;40607;Kefermarkt;2021;2087;70;3;1;15;2176
AT31;40608;Königswiesen;2021;3058;21;1;0;3;3083
AT31;40609;Lasberg;2021;2795;73;2;12;19;2901
AT31;40610;Leopoldschlag;2021;952;30;0;8;2;992
AT31;40611;Liebenau;2021;1559;11;1;0;4;1575
AT31;40612;Neumarkt im Mühlkreis;2021;3084;56;1;4;30;3175
AT31;40613;Pierbach;2021;1011;8;0;0;6;1025
AT31;40614;Pregarten;2021;5241;207;38;5;74;5565
AT31;40615;Rainbach im Mühlkreis;2021;2861;67;2;17;56;3003
AT31;40616;Sandl;2021;1328;38;0;0;1;1367
AT31;40617;St. Leonhard bei Freistadt;2021;1333;18;0;0;3;1354
AT31;40618;St. Oswald bei Freistadt;2021;2832;66;6;4;14;2922
AT31;40619;Schönau im Mühlkreis;2021;1932;18;0;0;2;1952
AT31;40620;Tragwein;2021;3038;61;8;0;26;3133
AT31;40621;Unterweißenbach;2021;2112;17;0;5;2;2136
AT31;40622;Unterweitersdorf;2021;2139;32;4;2;10;2187
AT31;40623;Waldburg;2021;1402;13;0;1;9;1425
AT31;40624;Wartberg ob der Aist;2021;4288;76;6;2;33;4405
AT31;40625;Weitersfelden;2021;1008;38;0;0;2;1048
AT31;40626;Windhaag bei Freistadt;2021;1545;16;2;29;1;1593
AT31;40627;Bad Zell;2021;2907;34;17;6;12;2976
AT31;40701;Altmünster;2021;9042;591;89;12;123;9857
AT31;40702;Bad Goisern am Hallstättersee;2021;7055;373;18;8;74;7528
AT31;40703;Bad Ischl;2021;12192;1199;174;179;318;14062
AT31;40704;Ebensee am Traunsee;2021;6956;390;94;4;71;7515
AT31;40705;Gmunden;2021;10743;1458;620;71;359;13251
AT31;40706;Gosau;2021;1651;143;5;0;21;1820
AT31;40707;Grünau im Almtal;2021;1864;116;10;12;21;2023
AT31;40708;Gschwandt;2021;2800;93;22;2;20;2937
