NUTS2;LAU2_CODE;LAU2_NAME;YEAR;NATION_AUSTRIA;NATION_FOREIGN;NATION_TOTAL
AT31;40101;Linz;2011;160832;29057;189889
AT31;40201;Steyr;2011;32854;5351;38205
AT31;40301;Wels;2011;47891;10700;58591
AT31;40401;Altheim;2011;4429;355;4784
AT31;40402;Aspach;2011;2300;96;2396
AT31;40403;Auerbach;2011;482;43;525
AT31;40404;Braunau am Inn;2011;13794;2403;16197
AT31;40405;Burgkirchen;2011;2387;167;2554
AT31;40406;Eggelsberg;2011;2119;157;2276
AT31;40407;Feldkirchen bei Mattighofen;2011;1839;52;1891
AT31;40408;Franking;2011;849;81;930
AT31;40409;Geretsberg;2011;993;80;1073
AT31;40410;Gilgenberg am Weilhart;2011;1206;86;1292
AT31;40411;Haigermoos;2011;566;24;590
AT31;40412;Handenberg;2011;1250;54;1304
AT31;40413;Helpfau-Uttendorf;2011;2867;499;3366
AT31;40414;Hochburg-Ach;2011;2535;557;3092
AT31;40415;Höhnhart;2011;1335;34;1369
AT31;40416;Jeging;2011;625;46;671
AT31;40417;Kirchberg bei Mattighofen;2011;1065;54;1119
AT31;40418;Lengau;2011;4095;285;4380
AT31;40419;Lochen am See;2011;2420;68;2488
AT31;40420;Maria Schmolln;2011;1335;38;1373
AT31;40421;Mattighofen;2011;4381;1349;5730
AT31;40422;Mauerkirchen;2011;1968;331;2299
AT31;40423;Mining;2011;1093;53;1146
AT31;40424;Moosbach;2011;885;37;922
AT31;40425;Moosdorf;2011;1454;78;1532
AT31;40426;Munderfing;2011;2530;211;2741
AT31;40427;Neukirchen an der Enknach;2011;2001;92;2093
AT31;40428;Ostermiething;2011;2829;327;3156
AT31;40429;Palting;2011;870;34;904
AT31;40430;Perwang am Grabensee;2011;839;45;884
AT31;40431;Pfaffstätt;2011;880;120;1000
AT31;40432;Pischelsdorf am Engelbach;2011;1566;72;1638
AT31;40433;Polling im Innkreis;2011;880;62;942
AT31;40434;Roßbach;2011;931;19;950
AT31;40435;St. Georgen am Fillmannsbach;2011;390;8;398
AT31;40436;St. Johann am Walde;2011;1988;68;2056
AT31;40437;St. Pantaleon;2011;2749;344;3093
AT31;40438;St. Peter am Hart;2011;2164;257;2421
AT31;40439;St. Radegund;2011;528;35;563
